date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:15	26204/26204	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Nov%202021%2018:34:40%20GMT	https://demo.htmlcodex.com/2151/elearning-html-template/img/course-3.jpg	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/2151/elearning-html-template/img/course-3.jpg	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:15	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262a3b62d-4d7%22	https://demo.htmlcodex.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:19	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Users/Dell/Desktop/TEJA/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:19	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/Users/Dell/Desktop/TEJA/code.jquery.com/jquery-3.4.1.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:19	8159/8159	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2023:14:10%20GMT	https://demo.htmlcodex.com/2151/elearning-html-template/lib/wow/wow.min.js	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/2151/elearning-html-template/lib/wow/wow.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:20	2303/2303	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2008%20Jan%202018%2023:14:10%20GMT	https://demo.htmlcodex.com/2151/elearning-html-template/lib/easing/easing.min.js	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/2151/elearning-html-template/lib/easing/easing.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:20	9028/9028	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202017%2020:59:46%20GMT	https://demo.htmlcodex.com/2151/elearning-html-template/lib/waypoints/waypoints.min.js	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/2151/elearning-html-template/lib/waypoints/waypoints.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:20	42766/42766	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202017%2009:43:12%20GMT	https://demo.htmlcodex.com/2151/elearning-html-template/lib/owlcarousel/owl.carousel.min.js	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/2151/elearning-html-template/lib/owlcarousel/owl.carousel.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:21	1549/1549	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2013%20Nov%202021%2018:31:44%20GMT	https://demo.htmlcodex.com/2151/elearning-html-template/js/main.js	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/2151/elearning-html-template/js/main.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:22	12332/12332	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262a3b62d-302c%22	https://demo.htmlcodex.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	C:/Users/Dell/Desktop/TEJA/demo.htmlcodex.com/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js	(from https://demo.htmlcodex.com/2151/elearning-html-template/contact.html)
13:57:22	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Users/Dell/Desktop/TEJA/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
